,O1,,O2,,O3,,O4,,O5,,O6,
N1,4,0,5,0,5,0,5,0,5,0,5,0
N2,2,1,4,1,4,1,3,0,4,1,2,1
N3,2,2,4,1,5,0,2,1,4,2,2,1
N4,3,0,3,0,2,1,4,1,5,0,3,0
N5,3,0,2,1,4,0,2,2,4,1,2,0
N6,5,1,5,0,5,0,5,0,4,1,5,0
N7,2,2,2,2,1,1,3,0,3,0,2,0
N8,2,1,4,1,4,1,3,0,3,0,4,0
N9,1,1,2,1,3,0,1,2,4,0,1,1
N10,4,1,4,0,4,1,4,0,5,1,4,0
N11,3,0,3,0,4,0,3,0,3,0,3,0
N12,2,0,4,0,5,0,3,0,3,0,2,1
N13,1,1,4,0,5,0,1,1,1,1,2,1
N14,3,0,4,2,4,1,3,0,3,0,5,0
N15,2,0,4,1,4,2,3,0,4,2,4,0
N16,4,1,5,0,4,1,4,2,4,1,4,1
N17,4,0,4,0,3,0,5,2,5,0,4,1
N18,5,0,4,1,3,0,4,1,5,0,4,0
N19,2,1,4,1,4,1,4,1,2,1,4,0
N20,2,2,5,2,5,0,1,2,4,0,5,0
N21,3,0,4,1,2,1,4,0,3,0,4,1
N22,2,0,2,0,4,1,4,1,3,0,2,1
